BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	environment_biome_s	environment_feature_s	environment_material_s	environmental_package_s	g1k_analysis_group_s	g1k_pop_code_s	geographic_location_country_and_or_sea_s	geographic_location_latitude_s	geographic_location_longitude_s	investigation_type_s	project_name_s	sequencing_method_s	source_s
SAMEA3444255	ERX986140	CJM00095_GGCTAC	866	476	ERR906880	ERS743387	CJM00095	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444256	ERX986141	CJM00097_AGTCAA	1010	571	ERR906881	ERS743388	CJM00097	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444257	ERX986142	CJM00098_AGTTCC	1095	560	ERR906882	ERS743389	CJM00098	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444258	ERX986143	CJM00099_ATGTCA	1025	564	ERR906883	ERS743390	CJM00099	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444259	ERX986144	CJM00100_CCGTCC	1003	541	ERR906884	ERS743391	CJM00100	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444260	ERX986145	CJM00101_GTCCGC	1092	568	ERR906885	ERS743392	CJM00101	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444261	ERX986146	CJM00102_GTGAAA	882	479	ERR906886	ERS743393	CJM00102	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444262	ERX986147	CJM00109_GGCTAC	555	292	ERR906887	ERS743394	CJM00109	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444263	ERX986148	CJM00110_CTTGTA	618	360	ERR906888	ERS743395	CJM00110	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444264	ERX986149	CJM00111_AGTCAA	714	387	ERR906889	ERS743396	CJM00111	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444265	ERX986150	CJM00113_ATGTCA	569	302	ERR906890	ERS743397	CJM00113	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
SAMEA3444266	ERX986151	CJM00114_CCGTCC	390	204	ERR906891	ERS743398	CJM00114	WGS	<not provided>	PRJEB9524	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	350	PAIRED	RANDOM	METAGENOMIC	2015-08-02	Homo sapiens	ILLUMINA	2015-08-02	ERP010635	2011-01-01	Host associated	Gastrointestinal tract	Stool	host-associated	<not provided>	<not provided>	Uganda	-0.6170	30.6565	metagenome	AIDS Gastrointestinal Virome	Illumina	<not provided>
