Assay_Type_s	BioSample_s	Experiment_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	environment_biome_s	environment_feature_s	environment_material_s	environmental_package_s	geographic_location_country_and_or_sea_s	geographic_location_latitude_s	geographic_location_longitude_s	investigation_type_s	project_name_s	sequencing_method_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
AMPLICON	SAMEA4041131	ERX1534694	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	16	10	2016-06-22	ERR1464217	ERS1212241	7564.HHC.Con.A	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041132	ERX1534695	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	22	13	2016-06-22	ERR1464218	ERS1212242	7547.HHC.Con.B	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041133	ERX1534696	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	26	14	2016-06-22	ERR1464219	ERS1212243	14918.HHC.Con.C	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041134	ERX1534697	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	7	4	2016-06-22	ERR1464220	ERS1212244	7556.HHC.Con.D	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041135	ERX1534698	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	10	6	2016-06-22	ERR1464221	ERS1212245	7552.HHC.Con.E	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041136	ERX1534699	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	48	30	2016-06-22	ERR1464222	ERS1212246	10615.HHC.Con.F	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041137	ERX1534700	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	7	4	2016-06-22	ERR1464223	ERS1212247	13520.HHC.Con.G	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041138	ERX1534701	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	9	6	2016-06-22	ERR1464224	ERS1212248	7634.HHC.Con.I	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041139	ERX1534702	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	5	3	2016-06-22	ERR1464225	ERS1212249	7577.HHC.Con.J	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
AMPLICON	SAMEA4041140	ERX1534703	0	SINGLE	unspecified	OTHER	unspecified	2016-06-22	10	6	2016-06-22	ERR1464226	ERS1212250	7614.HHC.Con.L	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	PRJEB7772	WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE	public	Homo sapiens	ILLUMINA	ERP008725	<not provided>	<not provided>	<not provided>
