BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	source_material_id_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	host_s	isolation_source_s	lat_lon_s	source_s
SAMN03659353	SRX1029926	<not provided>	2015-05-15	12	6	SRR2029354	SRS938306	A1_0_9167	Mar-2010	AB38759167	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659353	SRX1040221	A1_0_9167_SIA	2015-05-27	2	1	SRR2041941	SRS938306	A1_0_9167	Mar-2010	AB38759167	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659354	SRX1029927	<not provided>	2015-05-15	21	13	SRR2029355	SRS938307	A1_3_3483	Jun-2010	AB38763483	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659354	SRX1040222	A1_3_3483_SIA	2015-05-27	40	17	SRR2041942	SRS938307	A1_3_3483	Jun-2010	AB38763483	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659353	SRX1040268	A1_0_9167_MDA	2015-05-27	10	4	SRR2041988	SRS938306	A1_0_9167	Mar-2010	AB38759167	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659354	SRX1040269	A1_3_3483_MDA	2015-05-27	33	16	SRR2041989	SRS938307	A1_3_3483	Jun-2010	AB38763483	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659355	SRX1029928	<not provided>	2015-05-15	18	11	SRR2029356	SRS938308	A1_6_3707	Sep-2010	AB43253707	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659356	SRX1030061	<not provided>	2015-05-16	18	10	SRR2029479	SRS938386	A1_12_0834	Mar-2011	TB0000130834	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659357	SRX1030062	<not provided>	2015-05-16	15	9	SRR2029480	SRS938387	A1_18_6364	Sep-2011	TB0000126364	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659358	SRX1030063	<not provided>	2015-05-16	8	5	SRR2029481	SRS938388	A1_24_6377	Mar-2012	TB0000126377	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659359	SRX1030064	<not provided>	2015-05-16	17	8	SRR2029482	SRS938389	A2_0_8584	Mar-2010	AB38758584	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659360	SRX1030065	<not provided>	2015-05-16	22	13	SRR2029483	SRS938390	A2_3_3467	Jun-2010	AB38763467	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659355	SRX1040223	A1_6_3707_SIA	2015-05-27	62	27	SRR2041943	SRS938308	A1_6_3707	Sep-2010	AB43253707	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659356	SRX1040224	A1_12_0834_SIA	2015-05-27	18	9	SRR2041944	SRS938386	A1_12_0834	Mar-2011	TB0000130834	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659361	SRX1030066	<not provided>	2015-05-16	16	9	SRR2029484	SRS938391	A2_6_3710	Sep-2010	AB43253710	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659362	SRX1030067	<not provided>	2015-05-16	9	5	SRR2029485	SRS938392	A2_12_0860	Mar-2011	TB0000130860	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659363	SRX1030068	<not provided>	2015-05-16	8	5	SRR2029486	SRS938393	A2_18_6574	Sep-2011	TB0000126574	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659364	SRX1030069	<not provided>	2015-05-16	6	4	SRR2029487	SRS938394	A2_24_6583	Mar-2012	TB0000126583	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659365	SRX1030070	<not provided>	2015-05-16	22	13	SRR2029488	SRS938395	B1_0_8199	Mar-2010	AB38768199	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
SAMN03659366	SRX1030071	<not provided>	2015-05-16	17	10	SRR2029489	SRS938396	B1_3_4708	Jun-2010	AB42574708	WGS	<not provided>	PRJNA284162	Metagenome or environmental	WASHINGTON UNIVERSITY	public	0	SINGLE	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-09-01	SRP058399	<not provided>	<not provided>	USA: Saint Louis, MO	not applicable	fecal sample	38.13 N 90 W	<not provided>
