Assay_Type_s	BioSample_s	Experiment_s	LibrarySelection_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	SRA_Study_s	Sample_Name_s	body_product_s	collection_date_s	country_s	elevation_s	family_relationship_s	latitude_s	longitude_s	project_name_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySource_s	Platform_s	env_biome_term_s	env_feature_term_s	env_matter_term_s	g1k_analysis_group_s	g1k_pop_code_s	host_taxon_id_s	samp_store_temp_s	source_s
AMPLICON	SAMN00016990	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	0	1	human gut metagenome	7/15/10	SRR060063	SRS084963	SRP002840	F1M.3	FMA:Feces	3/13/08	USA	160	F1T2;Mother F1T1;Mother	38.646991	-90.224967	16S rDNA virome project	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00014049	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	10	19	human gut metagenome	7/15/10	SRR060064	SRS074049	SRP002840	F1T1.3	FMA:Feces	3/26/08	USA	160	F1T2;Sister F1M;Daughter	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00014053	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	0	1	human gut metagenome	7/15/10	SRR060065	SRS074053	SRP002840	F1T2.3	FMA:Feces	3/17/08	USA	160	F1T1;Sister F1M;Daughter	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00014066	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	0	1	human gut metagenome	7/15/10	SRR060066	SRS074066	SRP002840	F2M.3	FMA:Feces	3/26/08	USA	160	F2T1;Mother F2T2;Mother	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00014059	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	0	1	human gut metagenome	7/15/10	SRR060067	SRS074059	SRP002840	F2T1.3	FMA:Feces	3/26/08	USA	160	F2T2;Sister F2M;Daughter	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00016991	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	0	1	human gut metagenome	7/15/10	SRR060068	SRS084964	SRP002840	F2T2.3	FMA:Feces	3/26/08	USA	160	F2T1;Sister F2M;Daughter	38.646991	-90.224967	16S rDNA virome project	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00016992	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	7	14	human gut metagenome	7/15/10	SRR060069	SRS084965	SRP002840	F3M.3	FMA:Feces	8/11/08	USA	160	F3T1;Mother F3T2;Mother	38.646991	-90.224967	16S rDNA virome project	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00014070	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	2	4	human gut metagenome	7/15/10	SRR060070	SRS074070	SRP002840	F3T1.3	FMA:Feces	4/17/08	USA	160	F3T2;Sister F3M;Daughter	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00014073	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	0	1	human gut metagenome	7/15/10	SRR060071	SRS074073	SRP002840	F3T2.3	FMA:Feces	4/7/08	USA	160	F3T1;Sister F3M;Daughter	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00014083	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	0	1	human gut metagenome	7/15/10	SRR060072	SRS074083	SRP002840	F4M.3	FMA:Feces	5/27/08	USA	160	F4T1;Mother F4T2;Mother	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00014078	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	0	0	human gut metagenome	7/15/10	SRR060073	SRS074078	SRP002840	F4T1.3	FMA:Feces	5/27/08	USA	160	F4T2;Sister F4M;Daughter	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
AMPLICON	SAMN00014080	SRX023429	PCR	16S_rDNA_virome_project	1/19/12	0	0	human gut metagenome	7/15/10	SRR060074	SRS074080	SRP002840	F4T2.3	FMA:Feces	5/12/08	USA	160	F4T1;Sister F4M;Daughter	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
WGS	SAMN00014060	SRX028823	other	Twins_fecal_virome_pool1	1/19/12	74	177	human gut metagenome	2/16/11	SRR073432	SRS074060	SRP002523	F2T1.1	FMA:Feces	4/9/07	USA	160	F2T2;Sister F2M;Daughter	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
WGS	SAMN00014066	SRX028825	other	Twins_fecal_virome_pool3	1/19/12	3	6	human gut metagenome	2/16/11	SRR073433	SRS074066	SRP002523	F2M.3	FMA:Feces	3/26/08	USA	160	F2T1;Mother F2T2;Mother	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
WGS	SAMN00014070	SRX028824	other	Twins_fecal_virome_pool2	1/19/12	2	5	human gut metagenome	2/16/11	SRR073434	SRS074070	SRP002523	F3T1.3	FMA:Feces	4/17/08	USA	160	F3T2;Sister F3M;Daughter	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
WGS	SAMN00014083	SRX028824	other	Twins_fecal_virome_pool2	1/19/12	63	130	human gut metagenome	2/16/11	SRR073435	SRS074083	SRP002523	F4M.3	FMA:Feces	5/27/08	USA	160	F4T1;Mother F4T2;Mother	38.646.991	-90.224967	Twins_fecal_virome	<not provided>	<not provided>	CGS-GL	public	0	SINGLE	GENOMIC	LS454	ENVO:feces	ENVO:feces	ENVO:feces	<not provided>	<not provided>	9606	-80	<not provided>
