V1	V2	mean
Acholeplasma_laidlawii_PG-8A	Acinetobacter_phage_Presley	186.25
Acholeplasma_laidlawii_PG-8A	Acinetobacter_phage_vB_AbaM_phiAbaA1	278.9
Acholeplasma_laidlawii_PG-8A	Azospirillum_phage_Cd	64.7
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Belinda	163.5
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_BigBertha	83.6
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Bobb	124
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_phi4J1	103.2
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_phiAGATE	64.7
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Shbh1	79.7
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Stahl	80.5
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Staley	83.6
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Stills	81.6
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_vB_BtS_BMBtp3	78.4
Acholeplasma_laidlawii_PG-8A	Brochothrix_phage_A9	55.8
Acholeplasma_laidlawii_PG-8A	Brucella_phage_Tb	72.8
Acholeplasma_laidlawii_PG-8A	Cellulophaga_phage_phi14_2	173.3
Acholeplasma_laidlawii_PG-8A	Cellulophaga_phage_phi17_2	158.3
Acholeplasma_laidlawii_PG-8A	Cellulophaga_phage_phi4_1	159.5
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_c_st	123.2
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiCT19406A	116.7
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiCT19406C	89.7
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiCT453A	76.6
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiCT453B	148.7
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiCT9441A	116.7
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiCTC2A	116.7
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_vB_CpeS_CP51	73.2
Acholeplasma_laidlawii_PG-8A	Croceibacter_phage_P2559Y	49.3
Acholeplasma_laidlawii_PG-8A	Cyanophage_P_TIM40	73.6
Acholeplasma_laidlawii_PG-8A	Cyanophage_PP	124
Acholeplasma_laidlawii_PG-8A	Enterobacteriaphage_UAB_Phi87	165.2
Acholeplasma_laidlawii_PG-8A	Escherichia_phage_EC6	167.5
Acholeplasma_laidlawii_PG-8A	Escherichia_phage_ECML_117	77
Acholeplasma_laidlawii_PG-8A	Escherichia_phage_HY02	167.2
