V1	V2	mean
Acholeplasma_laidlawii_PG-8A	Acinetobacter_phage_Presley	173.9
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Belinda	228.8
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_BigBertha	83.6
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Bobb	124
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_phi4J1	103.2
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Shbh1	79.7
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_vB_BhaS_171	55.1
Acholeplasma_laidlawii_PG-8A	Bacillus_phage_Waukesha92	103.2
Acholeplasma_laidlawii_PG-8A	Brochothrix_phage_A9	55.8
Acholeplasma_laidlawii_PG-8A	Brucella_phage_Tb	72.8
Acholeplasma_laidlawii_PG-8A	Cellulophaga_phage_phi12_1	79.3
Acholeplasma_laidlawii_PG-8A	Cellulophaga_phage_phi14_2	329.3
Acholeplasma_laidlawii_PG-8A	Cellulophaga_phage_phi17_2	158.3
Acholeplasma_laidlawii_PG-8A	Cellulophaga_phage_phi39_1	195.3
Acholeplasma_laidlawii_PG-8A	Cellulophaga_phage_phi4_1	159.5
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_c_st	123.2
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiCT19406C	89.7
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiCT453B	98.4
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiSM101	183.7
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_vB_CpeS_CP51	73.2
Acholeplasma_laidlawii_PG-8A	Cyanophage_P_TIM40	73.6
Acholeplasma_laidlawii_PG-8A	Enterobacteria_phage_Phi1	54.3
Acholeplasma_laidlawii_PG-8A	Enterobacteria_phage_RB3	176.4
Acholeplasma_laidlawii_PG-8A	Escherichia_phage_EC6	167.5
Acholeplasma_laidlawii_PG-8A	Escherichia_phage_HY02	167.2
Acholeplasma_laidlawii_PG-8A	Escherichia_phage_JH2	166.4
Acholeplasma_laidlawii_PG-8A	Escherichia_phage_KBNP1711	140.6
