V1	V2	mean
Acholeplasma_laidlawii_PG-8A	Acinetobacter_phage_Presley	106.7
Acholeplasma_laidlawii_PG-8A	Escherichia_phage_vB_EcoM_Alf5	147.1
Acholeplasma_laidlawii_PG-8A	Idiomarinaceae_phage_Phi1M2_2	219.066666666667
Acholeplasma_laidlawii_PG-8A	Klebsiella_phage_PKO111	161.4
Acholeplasma_laidlawii_PG-8A	Lactococcus_phage_98201	140.8
Acholeplasma_laidlawii_PG-8A	Salmonella_phage_118970_sal2	461.4
Acholeplasma_laidlawii_PG-8A	Salmonella_phage_GG32	457.2
Acholeplasma_laidlawii_PG-8A	Salmonella_phage_vB_SPuM_SP116	105.5
Acholeplasma_laidlawii_PG-8A	Vibrio_phage_ValKK3	568.1
Acinetobacter_johnsonii_XBB1	Bacillus_phage_AR9	135.2
Acinetobacter_johnsonii_XBB1	Bacillus_phage_JBP901	474.5
Acinetobacter_johnsonii_XBB1	Campylobacter_phage_PC14	489.9
Acinetobacter_johnsonii_XBB1	Idiomarinaceae_phage_Phi1M2_2	562
Acinetobacter_johnsonii_XBB1	Lactococcus_phage_phiL47	533.5
Acinetobacter_johnsonii_XBB1	Prochlorococcus_phage_P_TIM68	471.1
Acinetobacter_johnsonii_XBB1	Pseudomonas_phage_Bf7	668.3
Acinetobacter_johnsonii_XBB1	Synechococcus_phage_S_CRM01	467.2
Acinetobacter_sp__TTH0-4	Cyanophage_S_TIM5	277.3
Acinetobacter_sp__TTH0-4	Idiomarinaceae_phage_Phi1M2_2	261.2
Acinetobacter_sp__TTH0-4	Vibrio_phage_pVp_1	167.9
Actinoplanes_sp__N902-109	Bacillus_phage_AR9	138.3
Actinoplanes_sp__N902-109	Bacillus_phage_JBP901	119.4
Actinoplanes_sp__N902-109	Caulobacter_phage_Cr30	360.9
Actinoplanes_sp__N902-109	Citrobacter_phage_SH2	125.5
Actinoplanes_sp__N902-109	Escherichia_phage_vB_EcoM_JS09	106.7
Actinoplanes_sp__N902-109	Idiomarinaceae_phage_Phi1M2_2	204.2
Actinoplanes_sp__N902-109	Lactococcus_phage_98201	132.5
Actinoplanes_sp__N902-109	Prochlorococcus_phage_P_TIM68	124.8
Actinoplanes_sp__N902-109	Pseudomonas_phage_Bf7	310.5
Actinoplanes_sp__N902-109	Streptococcus_phage_APCM01	126.4
Actinoplanes_sp__N902-109	Synechococcus_phage_S_CBS1	147.2
Aeromonas_salmonicida_subsp__salmonicida_A449	Bacillus_phage_AR9	179.1
Aeromonas_salmonicida_subsp__salmonicida_A449	Bacillus_phage_JBP901	180.8
Aeromonas_salmonicida_subsp__salmonicida_A449	Burkholderia_phage_KS5	176.8
Aeromonas_salmonicida_subsp__salmonicida_A449	Citrobacter_phage_SH2	101.6
Aeromonas_salmonicida_subsp__salmonicida_A449	Geobacillus_phage_GBK2	114.55
Aeromonas_salmonicida_subsp__salmonicida_A449	Klebsiella_phage_PKO111	141.066666666667
Aeromonas_salmonicida_subsp__salmonicida_A449	Lactococcus_phage_98201	108.6
Aeromonas_salmonicida_subsp__salmonicida_A449	Salmonella_phage_118970_sal2	157.1
Aeromonas_salmonicida_subsp__salmonicida_A449	Salmonella_phage_SJ46	263.9
Aeromonas_salmonicida_subsp__salmonicida_A449	Shigella_phage_SfIV	173
Aeromonas_salmonicida_subsp__salmonicida_A449	Synechococcus_phage_S_CBS1	188
Aeromonas_salmonicida_subsp__salmonicida_A449	Synechococcus_phage_S_CRM01	146.3
Aeromonas_salmonicida_subsp__salmonicida_A449	Synechococcus_phage_S_PM2	130.5
Aeromonas_salmonicida_subsp__salmonicida_A449	Vibrio_phage_ValKK3	263.8
Aeromonas_sp__O23A	Idiomarinaceae_phage_Phi1M2_2	205.3
Aeromonas_sp__O23A	Klebsiella_phage_JD001	131.666666666667
Aeromonas_sp__O23A	Synechococcus_phage_S_CBS1	148.3
Alteromonas_macleodii_strain_D7	Bacillus_phage_AR9	142.5
Alteromonas_macleodii_strain_D7	Bacillus_phage_JBP901	120.9
Alteromonas_macleodii_strain_D7	Bacillus_phage_Pony	119.8
Alteromonas_macleodii_strain_D7	Campylobacter_phage_PC14	137.8
Alteromonas_macleodii_strain_D7	Cronobacter_phage_phiES15	143.6
Alteromonas_macleodii_strain_D7	Cyanophage_PSS2	130.2
Alteromonas_macleodii_strain_D7	Cyanophage_S_TIM5	245.7
Alteromonas_macleodii_strain_D7	Enterobacteria_phage_fiAA91_ss	149
