V1	V2	mean
Acholeplasma_laidlawii_PG-8A	Enterobacteriaphage_UAB_Phi87	99.35
Acholeplasma_laidlawii_PG-8A	Idiomarinaceae_phage_Phi1M2_2	195.3
Acholeplasma_laidlawii_PG-8A	Salmonella_phage_vB_SPuM_SP116	105.5
Achromobacter_xylosoxidans_strain_MN001	Cyanophage_S_TIM5	192.2
Acinetobacter_johnsonii_XBB1	Bacillus_phage_AR9	135.2
Acinetobacter_sp__TTH0-4	Clostridium_phage_c_st	117.1
Acinetobacter_sp__TTH0-4	Cyanophage_S_TIM5	230.3
Acinetobacter_sp__TTH0-4	Idiomarinaceae_phage_Phi1M2_2	214.2
Acinetobacter_sp__TTH0-4	Vibrio_phage_pVp_1	120.9
Actinoplanes_sp__N902-109	Bacillus_phage_JBP901	122.1
Actinoplanes_sp__N902-109	Caulobacter_phage_Cr30	558.9
Actinoplanes_sp__N902-109	Cellulophaga_phage_phi17_2	111.6
Actinoplanes_sp__N902-109	Escherichia_phage_vB_EcoM_VpaE1	127.9
Actinoplanes_sp__N902-109	Idiomarinaceae_phage_Phi1M2_2	388.7
Actinoplanes_sp__N902-109	Lactococcus_phage_98201	107.8
Actinoplanes_sp__N902-109	Proteus_phage_PM_75	140.2
Actinoplanes_sp__N902-109	Rhizobium_phage_vB_RleM_P10VF	100.8
Actinoplanes_sp__N902-109	Streptococcus_phage_APCM01	126.4
Aeromonas_salmonicida_subsp__salmonicida_A449	Bacillus_phage_JBP901	159.4
Aeromonas_salmonicida_subsp__salmonicida_A449	Burkholderia_phage_KS5	181.4
Aeromonas_salmonicida_subsp__salmonicida_A449	Cronobacter_phage_S13	209.5
Aeromonas_salmonicida_subsp__salmonicida_A449	Enterobacteria_phage_GEC_3S_complete_genome_130	284.6
Aeromonas_salmonicida_subsp__salmonicida_A449	Geobacillus_phage_GBK2	114
Aeromonas_salmonicida_subsp__salmonicida_A449	Idiomarinaceae_phage_Phi1M2_2	237.3
Aeromonas_salmonicida_subsp__salmonicida_A449	Lactobacillus_phage_PLE2	170.6
Aeromonas_salmonicida_subsp__salmonicida_A449	Lactococcus_phage_phiL47	135.2
Aeromonas_salmonicida_subsp__salmonicida_A449	Rhizobium_phage_vB_RleM_PPF1	286.2
Aeromonas_salmonicida_subsp__salmonicida_A449	Salmonella_phage_118970_sal2	253
Aeromonas_salmonicida_subsp__salmonicida_A449	Salmonella_phage_SJ46	268.5
Aeromonas_salmonicida_subsp__salmonicida_A449	Shigella_phage_SfIV	177.6
Aeromonas_salmonicida_subsp__salmonicida_A449	Staphylococcus_phage_B166	133.4
Aeromonas_salmonicida_subsp__salmonicida_A449	Synechococcus_phage_S_PM2	130.5
Aeromonas_salmonicida_subsp__salmonicida_A449	Vibrio_phage_ValKK3	359.7
Alteromonas_macleodii_strain_D7	Bacillus_phage_AR9	142.5
Alteromonas_macleodii_strain_D7	Bacillus_phage_JBP901	120.9
Alteromonas_macleodii_strain_D7	Bacillus_phage_Pony	119.8
Alteromonas_macleodii_strain_D7	Caulobacter_phage_Cr30	485.3
Alteromonas_macleodii_strain_D7	Cronobacter_phage_phiES15	143.6
Alteromonas_macleodii_strain_D7	Cyanophage_PSS2	130.2
Alteromonas_macleodii_strain_D7	Cyanophage_S_TIM5	245.7
Alteromonas_macleodii_strain_D7	Enterobacteria_phage_fiAA91_ss	149
Alteromonas_macleodii_strain_D7	Erwinia_phage_PhiEaH1	110.9
Alteromonas_macleodii_strain_D7	Escherichia_phage_ECML_117	113.2
Alteromonas_macleodii_strain_D7	Escherichia_phage_MX01	406.3
Alteromonas_macleodii_strain_D7	Escherichia_phage_vB_EcoM_JS09	112.8
Alteromonas_macleodii_strain_D7	Flavobacterium_phage_Fpv11	208
Alteromonas_macleodii_strain_D7	Flavobacterium_phage_Fpv20	130.2
Alteromonas_macleodii_strain_D7	Idiomarinaceae_phage_Phi1M2_2	208.4
Alteromonas_macleodii_strain_D7	Lactobacillus_phage_PLE2	158.3
Alteromonas_macleodii_strain_D7	Lactococcus_phage_phiL47	148.7
Alteromonas_macleodii_strain_D7	Proteus_phage_PM_75	289.6
Alteromonas_macleodii_strain_D7	Salmonella_phage_Fels_1	253
Alteromonas_macleodii_strain_D7	Vibrio_phage_ValKK3	222.6
Arthrobacter_sp__Rue61a	Bacillus_phage_JBP901	550
Arthrobacter_sp__Rue61a	Idiomarinaceae_phage_Phi1M2_2	257.35
Arthrobacter_sp__Rue61a	Lactococcus_phage_phiL47	143.7
Arthrobacter_sp__Rue61a	Proteus_phage_vB_PmiM_Pm5461	420.6
Arthrobacter_sp__Rue61a	Staphylococcus_phage_B166	161.15
Azospirillum_brasilense_strain_Az39	Acinetobacter_phage_vB_AbaM_phiAbaA1	169.1
Azospirillum_brasilense_strain_Az39	Azospirillum_phage_Cd	135.5
Azospirillum_brasilense_strain_Az39	Bacillus_phage_AR9	141.733333333333
Azospirillum_brasilense_strain_Az39	Bacillus_phage_CP_51	194.8
Azospirillum_brasilense_strain_Az39	Bacillus_phage_JBP901	135.5
Azospirillum_brasilense_strain_Az39	Bacillus_phage_Spock	186.8
Azospirillum_brasilense_strain_Az39	Campylobacter_phage_PC14	329.7
Azospirillum_brasilense_strain_Az39	Cellulophaga_phage_phi38_1	509.75
Azospirillum_brasilense_strain_Az39	Clostridium_phage_phiCT19406C	150.2
Azospirillum_brasilense_strain_Az39	Clostridium_phage_phiCTC2A	251.633333333333
Azospirillum_brasilense_strain_Az39	Cronobacter_phage_phiES15	145.7
Azospirillum_brasilense_strain_Az39	Cyanophage_S_TIM5	205.3
Azospirillum_brasilense_strain_Az39	Enterobacteria_phage_933W	155.75
Azospirillum_brasilense_strain_Az39	Enterobacteriaphage_UAB_Phi87	127.8
Azospirillum_brasilense_strain_Az39	Escherichia_phage_Lw1	128.2
Azospirillum_brasilense_strain_Az39	Escherichia_phage_vB_EcoM_JS09	353.2
Azospirillum_brasilense_strain_Az39	Flavobacterium_phage_Fpv11	182.6
Azospirillum_brasilense_strain_Az39	Idiomarinaceae_phage_Phi1M2_2	247.171428571429
Azospirillum_brasilense_strain_Az39	Lactococcus_phage_98201	201.6
Azospirillum_brasilense_strain_Az39	Lactococcus_phage_phiL47	180.466666666667
Azospirillum_brasilense_strain_Az39	Liberibacter_phage_SC2	191.8
Azospirillum_brasilense_strain_Az39	Mannheimia_phage_vB_MhS_535AP2	211
Azospirillum_brasilense_strain_Az39	Mycobacterium_phage_Adler	209.2
Azospirillum_brasilense_strain_Az39	Mycobacterium_phage_First	152.9
Azospirillum_brasilense_strain_Az39	Prochlorococcus_phage_P_TIM68	259.95
Azospirillum_brasilense_strain_Az39	Proteus_phage_PM_75	295.5
Azospirillum_brasilense_strain_Az39	Proteus_phage_vB_PmiM_Pm5461	126.3
Azospirillum_brasilense_strain_Az39	Pseudomonas_phage_MP1412	144.8
