V1	V2	mean
Acholeplasma_laidlawii_PG-8A	Clostridium_phage_phiCTC2A	508.1
Acholeplasma_laidlawii_PG-8A	Escherichia_phage_KBNP1711	100.9
Acholeplasma_laidlawii_PG-8A	Idiomarinaceae_phage_Phi1M2_2	212.85
Acholeplasma_laidlawii_PG-8A	Klebsiella_phage_PKO111	161.4
Acholeplasma_laidlawii_PG-8A	Lactococcus_phage_98201	141.4
Acholeplasma_laidlawii_PG-8A	Salmonella_phage_118970_sal2	461.4
Acholeplasma_laidlawii_PG-8A	Salmonella_phage_GG32	457.2
Acholeplasma_laidlawii_PG-8A	Salmonella_phage_vB_SPuM_SP116	105.5
Acholeplasma_laidlawii_PG-8A	Vibrio_phage_ValKK3	568.1
Achromobacter_xylosoxidans_strain_MN001	Synechococcus_phage_syn9	221.5
Acinetobacter_sp__TTH0-4	Cyanophage_S_TIM5	277.3
Acinetobacter_sp__TTH0-4	Idiomarinaceae_phage_Phi1M2_2	261.2
Acinetobacter_sp__TTH0-4	Vibrio_phage_pVp_1	167.9
Actinoplanes_sp__N902-109	Bacillus_phage_AR9	138.3
Actinoplanes_sp__N902-109	Bacillus_phage_JBP901	119.4
Actinoplanes_sp__N902-109	Citrobacter_phage_SH2	125.5
Actinoplanes_sp__N902-109	Escherichia_phage_vB_EcoM_JS09	106.7
Actinoplanes_sp__N902-109	Escherichia_phage_vB_EcoM_VpaE1	127.9
Actinoplanes_sp__N902-109	Idiomarinaceae_phage_Phi1M2_2	296.45
Actinoplanes_sp__N902-109	Lactococcus_phage_98201	132.5
Actinoplanes_sp__N902-109	Planktothrix_phage_PaV_LD	265.8
Actinoplanes_sp__N902-109	Proteus_phage_PM_75	285.4
Actinoplanes_sp__N902-109	Pseudomonas_phage_MP1412	121.7
Actinoplanes_sp__N902-109	Streptococcus_phage_APCM01	126.4
Actinoplanes_sp__N902-109	Synechococcus_phage_S_CBS1	147.2
Actinoplanes_sp__N902-109	Thermus_phage_TMA	146
Aeromonas_hydrophila_NJ-35	Pseudomonas_phage_PaBG	201.4
Aeromonas_salmonicida_subsp__salmonicida_A449	Acinetobacter_phage_Presley	344.7
Aeromonas_salmonicida_subsp__salmonicida_A449	Bacillus_phage_JBP901	159.4
Aeromonas_salmonicida_subsp__salmonicida_A449	Burkholderia_phage_KS5	176.8
Aeromonas_salmonicida_subsp__salmonicida_A449	Flavobacterium_phage_Fpv11	188.7
Aeromonas_salmonicida_subsp__salmonicida_A449	Klebsiella_phage_PKO111	147.3
Aeromonas_salmonicida_subsp__salmonicida_A449	Lactobacillus_phage_PLE2	170.6
Aeromonas_salmonicida_subsp__salmonicida_A449	Lactococcus_phage_phiL47	135.2
Aeromonas_salmonicida_subsp__salmonicida_A449	Salmonella_phage_118970_sal2	157.1
Aeromonas_salmonicida_subsp__salmonicida_A449	Salmonella_phage_SJ46	263.9
Aeromonas_salmonicida_subsp__salmonicida_A449	Synechococcus_phage_S_PM2	130.5
Aeromonas_salmonicida_subsp__salmonicida_A449	Vibrio_phage_ValKK3	263.8
Alteromonas_macleodii_strain_D7	Bacillus_phage_AR9	142.5
Alteromonas_macleodii_strain_D7	Bacillus_phage_JBP901	120.9
Alteromonas_macleodii_strain_D7	Bacillus_phage_Pony	119.8
Alteromonas_macleodii_strain_D7	Bacteriophage_APSE_2	142.9
Alteromonas_macleodii_strain_D7	Campylobacter_phage_PC14	137.8
Alteromonas_macleodii_strain_D7	Clavibacter_phage_CN1A	406.7
Alteromonas_macleodii_strain_D7	Cronobacter_phage_phiES15	143.6
Alteromonas_macleodii_strain_D7	Cyanophage_PSS2	130.2
Alteromonas_macleodii_strain_D7	Escherichia_phage_ECML_117	113.2
Alteromonas_macleodii_strain_D7	Escherichia_phage_vB_EcoM_JS09	112.8
Alteromonas_macleodii_strain_D7	Flavobacterium_phage_Fpv11	208
Alteromonas_macleodii_strain_D7	Flavobacterium_phage_Fpv20	130.2
Alteromonas_macleodii_strain_D7	Idiomarinaceae_phage_Phi1M2_2	208.4
Alteromonas_macleodii_strain_D7	Lactobacillus_phage_PLE2	158.3
Alteromonas_macleodii_strain_D7	Lactococcus_phage_phiL47	148.7
Alteromonas_macleodii_strain_D7	Phage_Gifsy_2	230.7
Alteromonas_macleodii_strain_D7	Proteus_phage_PM_75	289.6
Alteromonas_macleodii_strain_D7	Salmonella_phage_GG32	114
Alteromonas_macleodii_strain_D7	Staphylococcus_phage_phiSa119	148.6
Alteromonas_macleodii_strain_D7	Synechococcus_phage_S_MbCM100	261.5
Alteromonas_macleodii_strain_D7	Vibrio_phage_ValKK3	222.6
Arthrobacter_sp__Rue61a	Caulobacter_phage_Cr30	277.9
Arthrobacter_sp__Rue61a	Geobacillus_phage_GBSV1	649.4
Arthrobacter_sp__Rue61a	Mycobacterium_phage_First	334.7
Azospirillum_brasilense_strain_Az39	Acinetobacter_phage_vB_AbaM_phiAbaA1	169.1
Azospirillum_brasilense_strain_Az39	Bacillus_phage_AR9	255.866666666667
Azospirillum_brasilense_strain_Az39	Bacillus_phage_BigBertha	185.6
Azospirillum_brasilense_strain_Az39	Bacillus_phage_CP_51	171.3
Azospirillum_brasilense_strain_Az39	Bacillus_phage_JBP901	135.5
Azospirillum_brasilense_strain_Az39	Bacillus_phage_MG_B1	187.2
Azospirillum_brasilense_strain_Az39	Bacillus_phage_phIS3501	241.1
Azospirillum_brasilense_strain_Az39	Bacillus_phage_Pony	211.5
Azospirillum_brasilense_strain_Az39	Campylobacter_phage_PC14	262.96
Azospirillum_brasilense_strain_Az39	Caulobacter_phage_Cr30	189.1
Azospirillum_brasilense_strain_Az39	Cellulophaga_phage_phi17_2	136.7
Azospirillum_brasilense_strain_Az39	Clostridium_phage_phiCTC2A	492.3
Azospirillum_brasilense_strain_Az39	Cronobacter_phage_phiES15	145.7
Azospirillum_brasilense_strain_Az39	Cyanophage_P_TIM40	206.8
Azospirillum_brasilense_strain_Az39	Enterobacteria_phage_933W	169.8
Azospirillum_brasilense_strain_Az39	Enterobacteria_phage_GEC_3S_complete_genome_30	195.2
Azospirillum_brasilense_strain_Az39	Enterobacteria_phage_GEC_3S_complete_genome_72	130.2
Azospirillum_brasilense_strain_Az39	Escherichia_phage_KBNP1711	128.6
Azospirillum_brasilense_strain_Az39	Escherichia_phage_P13374	158.7
Azospirillum_brasilense_strain_Az39	Escherichia_phage_vB_EcoM_JS09	248.4
Azospirillum_brasilense_strain_Az39	Flavobacterium_phage_Fpv11	182.6
Azospirillum_brasilense_strain_Az39	Idiomarinaceae_phage_Phi1M2_2	270.5375
Azospirillum_brasilense_strain_Az39	Klebsiella_phage_vB_KpnM_KpV477	238.8
Azospirillum_brasilense_strain_Az39	Lactobacillus_phage_Ldl1	167.9
Azospirillum_brasilense_strain_Az39	Lactococcus_phage_98201	201.6
Azospirillum_brasilense_strain_Az39	Lactococcus_phage_phiL47	180.466666666667
Azospirillum_brasilense_strain_Az39	Liberibacter_phage_SC2	221.8
